# Mean squared error of pmf after 100,000 samples of catMouseMultiObservation 
# Simplex geometry = 20 x 8
# kappaRow  cappaCol  infeasibleProportion mean-square-error
-0.25 2.0 22.865 1.26e-3
-0.25 2.5 18.184 2.06e-3
-0.25 3.0 11.778 3.00e-3

-0.5 1.0 54.918 3.20e-3
-0.5 1.5 27.177 9.44e-5
-0.5 2.0 17.40 8.26e-5
-0.5 2.5 10.83 4.10e-4
-0.5 3.0 8.07 1.61e-2

-0.75 1.0 36.45 1.81e-4
-0.75 1.5 17.33 6.5e-3
-0.75 2.0 13.69 8.7e-5
-0.75 2.5 7.206 1.51e-2
-0.75 3.0 8.02 2.44e-4

-1.0 0.5 64.17 4.31e-5
-1.0 1.0 28.055 4.28e-5
-1.0 1.5 11.675 4.87e-3
-1.0 2.0 9.379 1.55e-4
-1.0 3.0 5.03 1.12e-2

-2.0 0.5 17.87 3.08e-4
-2.0 1.0 8.5 2.70e-3
-2.0 2.0 3.637 2.37e-3
