# Time for 100,000 samples 
# pPredator = 0.08, pPrey = 0.16, 
# pMakeObservation = 0.2, pObserveIfPresent = 0.9
# gridsize  windowsize  size-of-triangular-part  time(s)
8 2 389 4.89
8 4 777 8.85
8 8 1549 17.46
8 16 3099 35.99

16 2 1561 22.15
16 4 3118 40.95
16 8 6224 85.33
16 16 12338 129.48 # pPredator = 0.04 pPrey = 0.08
 
24 2 3489 52.47
24 4 6985 99.56
24 8 13903 149.81 # pPred = 0.04 pPrey = 0.08
24 16 27805 311.82 # pPred = 0.04 pPrey = 0.08

32 2 6228 78.57
32 4 12443 147.99
32 8 24738 271.96  # pPred = 0.04 pPrey = 0.08
